"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1461","Itoh,N.","Aoki,K.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"147","Itoh,N.","Ohno,S.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"2881","Uchio,E.","Aoki,K.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"289","Uchio,E.","Ohno,S.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"430","Aoki,K.","Ohno,S.",1999,"Submitted (10-FEB-1999) Satoshi Takeuchi, Yokohama City University	School of Medicine, Department of Ophthalmology; 3-9 Fuku-ura	Kanazawa-ku, Yokohama, Kanagawa 236-8567, Japan	(E-mail:takeuchi@med.yokohama-cu.ac.jp, Tel:81-45-787-2683,	Fax:81-45-781-9755)","Human adenovirus D8","Viruses",31545
"19","Lee,K.","Kashiwazaki,S.",1999,"Submitted (11-FEB-1999) Satoshi Kashiwazaki, National Agriculture	Research Center, Department of Plant Protection; 3-1-1 Kannondai,	Tsukuba, Ibaraki 305-8666, Japan (E-mail:skashiwa@narc.affrc.go.jp,	Tel:81-298-38-8932, Fax:81-298-38-8929)","Barley yellow mosaic virus","Viruses",12465
"110","Ueda,H.","Miyano,M.",1999,"Submitted (14-FEB-1999) Hiroki Ueda, Wakayama Medical Colloge, 3rd	Department of Internal Medicine; Nanabanchou 27, Wakayama, Wakayama	640, Japan (E-mail:uf8i-nsd@asahi-net.or.jp, Tel:81-734-26-8739,	Fax:81-734-26-2119)","Hepatitis B virus","Viruses",10407
"23","Ueda,H.","Tanaka,H.",1999,"Submitted (14-FEB-1999) Hiroki Ueda, Wakayama Medical Colloge, 3rd	Department of Internal Medicine; Nanabanchou 27, Wakayama, Wakayama	640, Japan (E-mail:uf8i-nsd@asahi-net.or.jp, Tel:81-734-26-8739,	Fax:81-734-26-2119)","Hepatitis B virus","Viruses",10407
"1453","Miyano,M.","Tanaka,H.",1999,"Submitted (14-FEB-1999) Hiroki Ueda, Wakayama Medical Colloge, 3rd	Department of Internal Medicine; Nanabanchou 27, Wakayama, Wakayama	640, Japan (E-mail:uf8i-nsd@asahi-net.or.jp, Tel:81-734-26-8739,	Fax:81-734-26-2119)","Hepatitis B virus","Viruses",10407
"111","Shimizu-Kadota,M.","Shirasawa,Y.",1999,"Submitted (16-FEB-1999) Mariko Shimizu-Kadota, Musashino Women's	University, Dep.Liberal Arts; Shinmachi 1-1-20, Hoya, Tokyo	202-8585, Japan (E-mail:mskadota@musashino-wu.ac.jp,	Tel:81-424-68-3324, Fax:81-424-68-8476)","Lactobacillus phage phiFSW","Viruses",91019
"24","Shimizu-Kadota,M.","Kiwaki,M.",1999,"Submitted (16-FEB-1999) Mariko Shimizu-Kadota, Musashino Women's	University, Dep.Liberal Arts; Shinmachi 1-1-20, Hoya, Tokyo	202-8585, Japan (E-mail:mskadota@musashino-wu.ac.jp,	Tel:81-424-68-3324, Fax:81-424-68-8476)","Lactobacillus phage phiFSW","Viruses",91019
"1454","Shirasawa,Y.","Kiwaki,M.",1999,"Submitted (16-FEB-1999) Mariko Shimizu-Kadota, Musashino Women's	University, Dep.Liberal Arts; Shinmachi 1-1-20, Hoya, Tokyo	202-8585, Japan (E-mail:mskadota@musashino-wu.ac.jp,	Tel:81-424-68-3324, Fax:81-424-68-8476)","Lactobacillus phage phiFSW","Viruses",91019
"112","Shirako,Y.","Miranda,G.J.",1999,"Submitted (16-FEB-1999) Yukio Shirako, University of Tokyo, Asian	Center for Bioresources and Environmental Sciences; 1-1-1 Yayoi,	Bunkyo-ku, Tokyo 113-8657, Japan (E-mail:shirako@ims.u-tokyo.ac.jp,	Tel:81-3-5800-5192, Fax:81-3-5800-5192)","Rice grassy stunt tenuivirus","Viruses",66266
"113","Mochizuki,N.","Matsuda,M.",1999,"Submitted (17-FEB-1999) Michiyuki Matsuda, International Medical	Center of Japan, Research Institute, Department of Pathology;	Toyama 1-21-1, Shinjuku-ku, Tokyo 162-8655, Japan	(E-mail:mmatsuda@ri.imcj.go.jp, Tel:81-3-3202-7181(ex.2833),	Fax:81-3-3205-1236)","Human immunodeficiency virus 1","Viruses",11676
"25","Mochizuki,N.","Tatsumi,M.",1999,"Submitted (17-FEB-1999) Michiyuki Matsuda, International Medical	Center of Japan, Research Institute, Department of Pathology;	Toyama 1-21-1, Shinjuku-ku, Tokyo 162-8655, Japan	(E-mail:mmatsuda@ri.imcj.go.jp, Tel:81-3-3202-7181(ex.2833),	Fax:81-3-3205-1236)","Human immunodeficiency virus 1","Viruses",11676
"1455","Matsuda,M.","Tatsumi,M.",1999,"Submitted (17-FEB-1999) Michiyuki Matsuda, International Medical	Center of Japan, Research Institute, Department of Pathology;	Toyama 1-21-1, Shinjuku-ku, Tokyo 162-8655, Japan	(E-mail:mmatsuda@ri.imcj.go.jp, Tel:81-3-3202-7181(ex.2833),	Fax:81-3-3205-1236)","Human immunodeficiency virus 1","Viruses",11676
"114","Kato,K.","Hanada,K.",1999,"Submitted (25-FEB-1999) Contact:Kimihiko Kato Shizuoka Agricultural	Experiment Station, Plant Breeding Division; 678-1 Tomioka,	Toyoda-Cho, Iwata-Gun, Shizuoka 438-0803, Japan","Melon yellow spot virus","Viruses",89471
"26","Kato,K.","Kameya-Iwaki,M.",1999,"Submitted (25-FEB-1999) Contact:Kimihiko Kato Shizuoka Agricultural	Experiment Station, Plant Breeding Division; 678-1 Tomioka,	Toyoda-Cho, Iwata-Gun, Shizuoka 438-0803, Japan","Melon yellow spot virus","Viruses",89471
"1456","Hanada,K.","Kameya-Iwaki,M.",1999,"Submitted (25-FEB-1999) Contact:Kimihiko Kato Shizuoka Agricultural	Experiment Station, Plant Breeding Division; 678-1 Tomioka,	Toyoda-Cho, Iwata-Gun, Shizuoka 438-0803, Japan","Melon yellow spot virus","Viruses",89471
"115","Hijikata,M.","Takahashi,K.",1999,"Submitted (26-FEB-1999) Contact:Minako Hijikata Toshiba General	Hospital, Department of Medical Sciences; 6-3-22 Higashi Oh-i,	Shinagawa-ku, Tokyo 140-8522, Japan","Torque teno virus","Viruses",68887
"27","Hijikata,M.","Mishiro,S.",1999,"Submitted (26-FEB-1999) Contact:Minako Hijikata Toshiba General	Hospital, Department of Medical Sciences; 6-3-22 Higashi Oh-i,	Shinagawa-ku, Tokyo 140-8522, Japan","Torque teno virus","Viruses",68887
"1457","Takahashi,K.","Mishiro,S.",1999,"Submitted (26-FEB-1999) Contact:Minako Hijikata Toshiba General	Hospital, Department of Medical Sciences; 6-3-22 Higashi Oh-i,	Shinagawa-ku, Tokyo 140-8522, Japan","Torque teno virus","Viruses",68887
"116","Jang,H.","Izumiya,Y.",1999,"Submitted (25-FEB-1999) Hyung-Kwan Jang, The University of Tokyo,	Faculty of Agriculture, Department of Veterinary Microbiology;	Yayoi 1-1-1, Bunkyo-ku, Tokyo 113-8657, Japan	(E-mail:aa77147@hongo.ecc.u-tokyo.ac.jp,	Tel:81-3-3812-2111(ex.5398), Fax:81-3-5689-7346)","Marek's disease virus serotype 2 MDV2","Viruses",36353
"28","Jang,H.","Mikami,T.",1999,"Submitted (25-FEB-1999) Hyung-Kwan Jang, The University of Tokyo,	Faculty of Agriculture, Department of Veterinary Microbiology;	Yayoi 1-1-1, Bunkyo-ku, Tokyo 113-8657, Japan	(E-mail:aa77147@hongo.ecc.u-tokyo.ac.jp,	Tel:81-3-3812-2111(ex.5398), Fax:81-3-5689-7346)","Marek's disease virus serotype 2 MDV2","Viruses",36353
"1458","Izumiya,Y.","Mikami,T.",1999,"Submitted (25-FEB-1999) Hyung-Kwan Jang, The University of Tokyo,	Faculty of Agriculture, Department of Veterinary Microbiology;	Yayoi 1-1-1, Bunkyo-ku, Tokyo 113-8657, Japan	(E-mail:aa77147@hongo.ecc.u-tokyo.ac.jp,	Tel:81-3-3812-2111(ex.5398), Fax:81-3-5689-7346)","Marek's disease virus serotype 2 MDV2","Viruses",36353
"117","Sano,T.","Aota,Y.",1999,"Submitted (03-MAR-1999) Teruo Sano, Hirosaki University, Faculty of	Agriculture and Life Science; Bunkyo-cho 3, Hirosaki, Aomori	036-8561, Japan (E-mail:sano@cc.hirosaki-u.ac.jp,	Tel:81-172-39-3817, Fax:81-172-39-3816)","Melon necrotic spot virus","Viruses",11987
"29","Sano,T.","Akada,S.",1999,"Submitted (03-MAR-1999) Teruo Sano, Hirosaki University, Faculty of	Agriculture and Life Science; Bunkyo-cho 3, Hirosaki, Aomori	036-8561, Japan (E-mail:sano@cc.hirosaki-u.ac.jp,	Tel:81-172-39-3817, Fax:81-172-39-3816)","Melon necrotic spot virus","Viruses",11987
"1459","Aota,Y.","Akada,S.",1999,"Submitted (03-MAR-1999) Teruo Sano, Hirosaki University, Faculty of	Agriculture and Life Science; Bunkyo-cho 3, Hirosaki, Aomori	036-8561, Japan (E-mail:sano@cc.hirosaki-u.ac.jp,	Tel:81-172-39-3817, Fax:81-172-39-3816)","Melon necrotic spot virus","Viruses",11987
"118","Kato,K.","Takebe,Y.",1999,"Submitted (19-MAR-1999) Kayoko Kato, National Institute of	Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku,	Tokyo 164-8640, Japan (E-mail:kayokato@nih.go.jp,	Tel:+81-3-5285-1111, Fax:+81-3-5285-1129)","Human immunodeficiency virus 1","Viruses",11676
"119","Tanji,Y.","Suda,K.",1999,"Submitted (19-MAR-1999) Yasunori Tanji, Tokyo Institute of	Technology, Departemnt of Bioengineering; 4259 Nagatsuta,	Midori-ku, Yokohama, Kanagawa 226-8501, Japan	(E-mail:ytanji@bio.titech.ac.jp, Tel:81-45-924-5763,	Fax:81-45-924-5818)","Chlorella virus","Viruses",10507
"120","Mochizuki,M.","Hashimoto,M.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"121","Mochizuki,M.","Hashimoto,M.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"210","Mochizuki,M.","Hagiwara,S.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"32","Mochizuki,M.","Yoshida,Y.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"41","Mochizuki,M.","Ishiguro,S.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"14510","Hashimoto,M.","Hagiwara,S.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"1462","Hashimoto,M.","Yoshida,Y.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"1471","Hashimoto,M.","Ishiguro,S.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"2882","Hagiwara,S.","Yoshida,Y.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"2891","Hagiwara,S.","Ishiguro,S.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"4301","Yoshida,Y.","Ishiguro,S.",1999,"Submitted (24-MAR-1999) Masami Mochizuki, Kyoritsu Seiyaku	Corporation, Laboratory of Clinical Microbiology; 1-12-4 Kudankita,	Chiyoda-ku, Tokyo 102-0073, Japan (E-mail:msmmchzk@infoweb.ne.jp,	Tel:81-3-3264-7117, Fax:81-3-3264-6094)","Canine morbillivirus","Viruses",11232
"122","Onuki,A.","Taneichi,A.",1999,"Submitted (24-MAR-1999) Atsushi Onuki, Yamagata Central Livestock	Hygiene Service Center, Diagnostic Section; Urushiyama-736,	Yamagata city, Yamagata 9902161, Japan	(E-mail:atsonuki@macbase.or.jp, Tel:81-23-686-4410,	Fax:81-23-686-5715)","Porcine circovirus","Viruses",46221
"123","Ushijima,H.","Hachiya,M.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"211","Ushijima,H.","Matsui,M.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"33","Ushijima,H.","Oseto,M.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"42","Ushijima,H.","Morroka,K.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"14511","Hachiya,M.","Matsui,M.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"1463","Hachiya,M.","Oseto,M.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"1472","Hachiya,M.","Morroka,K.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"2883","Matsui,M.","Oseto,M.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"2892","Matsui,M.","Morroka,K.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"4302","Oseto,M.","Morroka,K.",1999,"Submitted (26-MAR-1999) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 4","Viruses",35300
"124","Abe,K.","Noda,M.",1999,"Submitted (06-APR-1999) Katsuhiko Abe, Hiroshima City Institute of	Public Health, Division of Biological Science; Nishi-ku	Shoko-center 4-1-2, Hiroshima, Hiroshima 733-8650, Japan	(E-mail:ei-seibutsu@city.hiroshima.jp, Tel:81-82-277-6998,	Fax:81-82-277-0410)","Norovirus isolates","Viruses",150080
"212","Abe,K.","Ikeda,Y.",1999,"Submitted (06-APR-1999) Katsuhiko Abe, Hiroshima City Institute of	Public Health, Division of Biological Science; Nishi-ku	Shoko-center 4-1-2, Hiroshima, Hiroshima 733-8650, Japan	(E-mail:ei-seibutsu@city.hiroshima.jp, Tel:81-82-277-6998,	Fax:81-82-277-0410)","Norovirus isolates","Viruses",150080
